Comment,Designator,Footprint,LCSC,Quantity
1.5K,R29,R_0402_1005Metric,C25867,1
100K,"R19,R22,R28,R4,R8",R_0402_1005Metric,C25741,5
100nF,"C17,C29,C41",C_0603_1608Metric,C14663,3
100nF,"C13,C14,C23,C25,C26,C27,C3,C30,C33,C34,C36,C37,C4,C40,C5,C6,C7,C8",C_0402_1005Metric,C307331,18
100nf,"C38,C39",C_0402_1005Metric,C307331,2
10K,"R13,R26,R27,R30",R_0402_1005Metric,C25744,4
10k,R35,R_0402_1005Metric,C25744,1
10nF,C22,C_0402_1005Metric,C15195,1
12.4K,R20,R_0402_1005Metric,C11692,1
150K,R10,R_0402_1005Metric,C25755,1
15pF,"C10,C11",C_0402_1005Metric,C1548,2
16Mhz,Y1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C1985520,1
18.7K,R7,R_0402_1005Metric,C11476,1
1K,"R31,R32",R_0402_1005Metric,C11702,2
1uF,"C18,C20,C9",C_0402_1005Metric,C1518208,3
20,"R18,R5",R_0402_1005Metric,C25150,2
22,"R1,R2",R_0402_1005Metric,C25092,2
22.6K,R6,R_0402_1005Metric,C477674,1
22uF,"C15,C32",C_0805_2012Metric,C45783,2
27Mhz,Y2,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C1985480,1
2u2,"C1,C2,C24",C_0402_1005Metric,C12530,3
4.7K,"R12,R33,R34",R_0402_1005Metric,C25900,3
4.7uF,"C19,C21",C_0402_1005Metric,C2858031,2
4.7uF,"C12,C28",C_0805_2012Metric,C98192,2
47,R15,R_0402_1005Metric,C25118,1
470nF,C35,C_0402_1005Metric,C47339,1
47uF,C42,C_1206_3216Metric,C76659,1
5.1K,"R3,R36",R_0402_1005Metric,C25905,2
680,R14,R_0402_1005Metric,C137948,1
75,"R24,R25",R_0402_1005Metric,C2909384,2
8.66K,R21,R_0402_1005Metric,C5126133,1
D_Schottky,"D2,D3",D_0603_1608Metric,C151629,2
FerriteBead_Small,FB1,L_0402_1005Metric,C160977,1
ICM-42688-P,U2,LGA-14_L3.0-W2.5-P0.50-TL,C1850418,1
LDL212PV33R,"U8,U9",DFN-6_L2.0-W2.0-P0.50-BL-EP1.45,C2969892,2
LED,"D4,D5,D6,D7",LED_0603_1608Metric,C2288,4
LED GREEN,D8,LED_0603_1608Metric,C12624,1
MAX7456EUI_,U3,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2,C82351,1
MP4420GJ-P,"U4,U7",TSOT-23-8_L2.9-W1.6-P0.65-LS2.8-BL,C3194330,2
MS561101BA03-50,A1,SENSORS-SMD_MS5611-01BA03,C15639,1
SMBJ28A,D1,D_SMA,C19077582,1
SMHT4020-100MT,"L3,L4",IND-SMD_L4.0-W4.0_TNR4030S,C42924178,2
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,C2054141,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
W25Q128JVPIQ,U5,WSON-8_L6.0-W5.0-P1.27-BL-EP,C190862,1
jst sh,J2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,C160407,1
RX3,TP11,1.5mm pad,,1
GND,TP24,1.5mm pad,,1
+5V,TP21,1.5mm pad,,1
GND,TP16,1.5mm pad,,1
+9V,TP17,1.5mm pad,,1
GND,TP23,1.5mm pad,,1
+5V,TP14,1.5mm pad,,1
CAM,TP15,1.5mm pad,,1
GND,TP9,1.5mm pad,,1
4V5,TP8,1.5mm pad,,1
GND,TP5,1.5mm pad,,1
VID,TP19,1.5mm pad,,1
4V5,TP13,1.5mm pad,,1
4V5,TP10,1.5mm pad,,1
SA,TP18,1.5mm pad,,1
+5V,TP22,1.5mm pad,,1
+9V,TP20,1.5mm pad,,1
4V5,TP6,1.5mm pad,,1
TX3,TP12,1.5mm pad,,1
NANOT240AS,S1,NANOT240AS,,1
4V5,TP7,1.5mm pad,,1
